pdb,stacking,base_triple_type
ens-923,unstacked,non-triple
ens-924,unstacked,non-triple
ens-925,stacked,non-triple
ens-926,unstacked,non-triple
ens-927,unstacked,non-triple
ens-928,stacked,non-triple
ens-929,stacked,non-triple
ens-930,stacked,non-triple
ens-931,unstacked,non-triple
ens-932,unstacked,non-triple
ens-933,stacked,non-triple
ens-934,unstacked,non-triple
ens-935,stacked,non-triple
ens-936,unstacked,non-triple
ens-937,unstacked,non-triple
ens-938,unstacked,non-triple
ens-939,stacked,triple
ens-940,unstacked,non-triple
ens-941,stacked,non-triple
ens-942,unstacked,non-triple
ens-943,stacked,non-triple
ens-944,unstacked,non-triple
ens-945,stacked,non-triple
ens-946,stacked,non-triple
ens-947,stacked,non-triple
ens-948,unstacked,non-triple
ens-949,unstacked,non-triple
ens-950,unstacked,non-triple
ens-951,unstacked,non-triple
ens-952,unstacked,non-triple
ens-953,stacked,non-triple
ens-954,stacked,non-triple
ens-955,stacked,non-triple
ens-956,unstacked,non-triple
ens-957,unstacked,non-triple
