pdb,stacking,base_triple_type
ens-884,stacked,non-triple
ens-885,stacked,non-triple
ens-886,stacked,non-triple
ens-887,stacked,non-triple
ens-888,stacked,non-triple
ens-889,stacked,non-triple
ens-890,stacked,non-triple
ens-891,stacked,non-triple
ens-892,stacked,non-triple
ens-893,stacked,non-triple
ens-894,stacked,non-triple
ens-895,stacked,non-triple
ens-896,stacked,non-triple
ens-897,stacked,non-triple
ens-898,stacked,non-triple
ens-899,stacked,non-triple
ens-900,stacked,non-triple
ens-901,stacked,non-triple
ens-902,stacked,non-triple
ens-903,stacked,non-triple
ens-904,stacked,non-triple
ens-905,stacked,non-triple
ens-906,stacked,non-triple
ens-907,stacked,non-triple
ens-908,stacked,non-triple
ens-909,stacked,non-triple
ens-910,stacked,non-triple
ens-911,stacked,non-triple
ens-912,stacked,non-triple
ens-913,stacked,non-triple
ens-914,stacked,non-triple
ens-915,stacked,non-triple
ens-916,stacked,non-triple
ens-917,stacked,non-triple
ens-918,stacked,non-triple
ens-919,stacked,non-triple
ens-920,stacked,non-triple
ens-921,stacked,non-triple
ens-922,stacked,non-triple
ens-923,stacked,non-triple
ens-924,stacked,non-triple
ens-925,stacked,non-triple
ens-926,stacked,non-triple
ens-927,stacked,non-triple
ens-928,stacked,non-triple
ens-929,stacked,non-triple
ens-930,stacked,non-triple
ens-931,stacked,non-triple
ens-932,stacked,non-triple
ens-933,stacked,non-triple
ens-934,stacked,non-triple
ens-935,stacked,non-triple
ens-936,stacked,non-triple
ens-937,stacked,non-triple
ens-938,stacked,non-triple
ens-939,stacked,non-triple
ens-940,stacked,non-triple
ens-941,stacked,non-triple
ens-942,stacked,non-triple
ens-943,stacked,non-triple
ens-944,stacked,non-triple
ens-945,stacked,non-triple
ens-946,stacked,non-triple
ens-947,stacked,non-triple
ens-948,stacked,non-triple
ens-949,stacked,non-triple
ens-950,stacked,non-triple
ens-951,stacked,non-triple
ens-952,stacked,non-triple
ens-953,stacked,non-triple
ens-954,stacked,non-triple
ens-955,stacked,non-triple
ens-956,stacked,non-triple
ens-957,stacked,non-triple
ens-958,stacked,non-triple
ens-959,stacked,non-triple
ens-960,stacked,non-triple
ens-961,stacked,non-triple
ens-962,stacked,non-triple
ens-963,stacked,non-triple
ens-964,stacked,non-triple
ens-965,stacked,non-triple
ens-966,stacked,non-triple
ens-967,stacked,non-triple
ens-968,stacked,non-triple
ens-969,stacked,non-triple
ens-970,stacked,non-triple
ens-971,stacked,non-triple
ens-972,stacked,non-triple
ens-973,stacked,non-triple
ens-974,stacked,non-triple
ens-975,stacked,non-triple
ens-976,stacked,non-triple
ens-977,stacked,non-triple
ens-978,stacked,non-triple
ens-979,stacked,non-triple
ens-980,stacked,non-triple
ens-981,stacked,non-triple
ens-982,stacked,non-triple
ens-983,stacked,non-triple
ens-984,stacked,non-triple
ens-985,stacked,non-triple
ens-986,stacked,non-triple
ens-987,stacked,non-triple
ens-988,stacked,non-triple
ens-989,stacked,non-triple
ens-990,stacked,non-triple
ens-991,stacked,non-triple
ens-992,stacked,non-triple
ens-993,stacked,non-triple
